,count
pakai,4856
kulit,3347
serum,3159
jerawat,2937
banget,2850
cerah,2081
bikin,1703
muka,1690
cocok,1620
produk,1615
bekas,1570
sih,1445
bagus,1371
wajah,1358
nya,1285
tekstur,1210
udah,1169
gak,1110
niacinamide,1064
aja,1044
coba,1024
bgt,1023
somethinc,1015
efek,1004
suka,991
hasil,864
beli,823
pas,774
kalo,758
gitu,729
botol,668
pudar,629
kali,625
bener,613
lumayan,588
liat,569
minggu,533
karna,527
cepet,520
emang,503
langsung,497
lengket,487
lembab,482
repurchase,476
kandung,441
glowing,418
resap,407
harga,404
skin,399
bruntusan,396
skincare,394
deh,389
kering,389
kusam,378
pagi,368
muncul,359
abis,352
merah,334
kental,333
kayak,330
cepat,329
habis,322
kaya,320
the,310
enak,304
gampang,304
hilang,303
bau,300
tuh,297
serap,294
cobain,293
nyoba,292
minyak,290
product,284
melembabkan,281
bantu,274
warna,274
rutin,273
nggak,267
sampe,265
ngga,261
mudah,258
bulan,257
halus,256
cair,248
breakout,244
aman,235
pokok,234
hitam,231
krn,227
rasa,221
beruntus,220
cinta,217
oke,217
cream,213
make,213
sensitif,213
niacin,211
ngaruh,211
this,211
review,209
acne,209
ringan,208
turut,207
and,204
glow,204
beneran,202
malam,194
ilang,194
worth,194
ubah,194
orang,194
yaa,187
nyobain,184
parah,184
sayang,182
kurang,180
tau,179
asa,179
ngilangin,177
but,175
baik,175
noda,173
oily,172
wangi,172
tetep,167
sabi,166
malem,163
sehat,161
jujur,160
samar,159
kenyal,158
lokal,158
barrier,158
salah,156
love,155
pori,151
trus,150
cari,145
super,145
beet,144
far,144
butuh,140
emg,140
ken,140
ngerasa,138
overall,137
takut,136
ngefek,133
susah,132
lihat,132
dapet,131
ordinary,130
white,129
gue,129
brand,128
hehe,125
nyaman,122
thick,122
bangett,122
alhamdulillah,121
night,121
dna,120
penasaran,120
sempet,119
lembap,118
sunscreen,118
pakenya,117
bilang,117
stop,115
sesuai,113
trs,112
purging,112
toner,112
beda,111
kentel,111
scarlett,111
klo,108
retinol,107
gede,106
bangun,105
huhu,105
bening,104
nampol,104
utk,104
mudarin,104
rata,104
cuman,104
besok,103
ampuh,103
good,103
jarang,103
gatau,103
biar,103
sebenernya,102
nih,102
ganggu,102
temen,102
engga,102
tidur,101
affordable,101
nyerap,101
best,101
wajib,100
bersih,99
tetes,99
try,98
dikit,98
timbul,98
first,98
neng,97
moisturizer,97
tipe,96
spot,96
pipi,96
hari,96
banding,95
its,93
gimana,93
aneh,93
dark,92
murah,91
kadang,91
lembut,91
cell,91
works,91
blm,91
signifikan,90
uda,87
sabar,86
for,86
recommended,86
kempes,86
tarik,85
skrg,84
klaim,84
niacinamidenya,84
ukur,83
aroma,83
ganti,83
jangkau,82
nyerahin,81
layer,81
moga,80
jatuh,79
brightening,79
putih,78
kasih,78
benerbener,77
aplikasi,77
time,77
kombinasi,77
must,76
tpi,76
bareng,76
poko,76
gel,75
bingung,75
doang,75
jdi,74
rada,74
jidat,74
apa,74
packaging,74
day,74
sedih,74
hype,74
bangettt,73
moisture,73
btw,73
loh,72
normal,72
instan,71
mahal,71
varian,71
nyerep,71
harap,71
racun,70
mana,70
yes,70
rekomendasi,69
ingredients,69
perih,69
kek,69
mula,68
baguss,67
reda,67
isi,67
negatif,67
wow,67
kemas,66
hyaluronic,66
prone,66
after,66
panas,65
berat,65
dry,65
packagingnya,65
pih,65
gtu,65
pipet,64
perlahan,63
buy,63
work,63
kondisi,62
jenis,62
out,62
flek,61
iya,61
ini,61
dgn,61
gituu,60
krna,60
ngebantu,60
reaksi,60
makenya,60
texture,59
ragu,59
lbh,58
sensitive,58
ngasih,58
dah,58
pke,57
rasain,57
atas,57
wkwk,57
sihh,57
mantul,57
akuu,57
bahan,56
apply,56
tumbuh,56
ilangin,56
banyak,55
plus,55
rekomen,55
kaca,55
gatel,55
masalah,54
lgsg,54
mending,53
kaget,53
iritasi,53
semenjak,53
moist,52
asli,52
tinggal,52
guys,52
greasy,52
yah,52
sumpah,52
cenderung,52
gara,52
ngurangin,52
untung,51
kontrol,51
tambah,51
sembuh,51
berani,51
claim,51
jugaa,51
bgtt,50
aga,50
plumpy,50
next,50
recommend,50
pilih,50
merk,49
calming,49
not,49
item,49
nemu,49
creamnya,48
mulus,48
kuat,48
hidrasi,47
krim,47
dia,47
gada,47
notice,46
kantong,46
local,46
dagu,46
kualitas,46
belang,46
yaaa,45
nyesel,45
pump,45
luv,45
kusem,45
you,44
facial,44
darkspot,44
pdhl,44
jar,44
nyari,44
nimbulin,43
better,43
viral,43
awet,43
hidung,43
seger,43
kuning,43
maksimal,43
holy,43
manfaat,43
aktif,42
putus,42
cerahin,42
have,42
wash,41
dokter,41
fragrance,41
one,41
guna,41
pie,41
masuk,41
ngelembabin,41
kecil,41
rangkai,41
nambah,41
henti,40
tahan,40
watery,40
efektif,40
combine,40
area,40
grail,39
bawa,39
oil,39
komedo,39
sii,39
pertama,39
paket,39
recomended,39
tone,38
hydrating,38
gin,38
light,38
segi,38
kyk,37
share,37
use,37
maybe,37
cekit,37
versi,36
gelap,36
size,36
claimnya,36
reviewnya,36
iseng,36
pikir,36
juara,35
hati,35
gentle,35
siang,35
routine,35
mata,35
tiktok,35
ajaa,35
proses,35
kemarin,35
busa,34
ngerasain,34
sisa,34
rekomendasiin,34
acid,34
dingin,34
dahi,34
lepas,34
ama,34
minus,34
lupa,33
kerja,33
rajin,33
favorit,33
really,33
bkin,33
purchase,33
water,32
sma,32
combo,32
hihi,32
rekomended,32
gatal,32
auto,32
nyangka,32
texturenya,32
mantap,32
tangan,32
break,32
rusak,32
face,32
daily,31
cuci,31
pasti,31
dri,31
formula,31
keren,31
type,31
care,30
jual,30
official,30
makeup,30
order,30
kenal,30
niacinimide,30
sekian,30
that,30
ketemu,30
obat,30
sengat,30
lanjutin,30
spf,30
pengaruh,30
dibarengin,30
sold,29
kena,29
shopee,29
lem,29
tenang,29
mendem,29
gabisa,29
essence,29
with,29
centella,29
tipis,29
kadar,28
saran,28
dipakenya,28
alih,28
finishnya,28
gila,28
jaga,28
much,28
gacocok,28
all,28
sensasi,28
radang,28
nama,28
leher,28
fungsi,27
bandel,27
nyerepnya,27
bom,27
tahun,27
aha,27
redness,27
bha,27
mantep,27
ngabisin,26
bangetttt,26
very,26
bngt,26
ekspektasi,26
tingkat,26
tahap,26
haha,26
syukur,26
lebih,26
diapply,26
batu,26
lagi,26
bagusss,26
ambil,25
nunggu,25
tekturnya,25
konsentrasi,25
hilangin,25
andal,25
teksturenya,25
fokus,25
ngeluarin,25
hate,25
rewel,25
well,25
belah,25
pindah,24
melembabkannya,24
ngempesin,24
say,24
baca,24
dlu,24
numbuh,24
will,24
tiga,24
iniii,24
holygrail,24
gradakan,24
muas,24
bukti,24
saranin,24
basic,24
air,24
hehehe,24
calm,24
extract,23
diaplikasiin,23
effect,23
serius,23
biru,23
niat,23
doesnt,23
nyaa,23
selang,23
yaudah,23
kesan,23
maju,23
lindung,23
temenku,23
knp,23
sukaaa,23
mah,23
fix,23
segitu,23
cpt,23
full,23
ngelembapin,23
blend,23
sadar,23
something,23
bbrp,22
sticky,22
too,22
apaapa,22
alhasil,22
inti,22
selamat,22
sorry,22
like,22
menit,22
ngeratain,22
dehh,22
jalan,22
mesti,22
vit,22
teman,22
preloved,22
percaya,22
alam,22
baru,22
bruntus,21
teksture,21
promo,21
ajaib,21
scars,21
lembabnya,21
kalah,21
peeling,21
nemuin,21
pelan,21
ever,21
surprisingly,21
samsek,21
nyata,21
expect,21
mateng,21
pms,21
campur,21
lengkap,21
fresh,21
top,21
bln,21
msglow,21
msh,21
daerah,21
mundur,21
poripori,21
sukak,21
sakit,21
fine,20
kenyel,20
garagara,20
mas,20
dipakein,20
highly,20
tube,20
bright,20
gabung,20
impression,20
kasar,20
kirain,20
oksidasi,20
kliatan,20
